Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Unités légales (en nombre) 2021;Population municipale 2022;Densité de population (historique depuis 1876) 2021;Part construction dans les créations d'ent. 2023
01231;Manziat;109;1985;154.8;20
01232;Marboz;148;2262;56.5;0
01233;Marchamp;11;135;10.1;0
01234;Marignieu;7;164;47;0
01235;Marlieux;77;1186;70.1;11.1
01236;Marsonnas;56;1034;56;18.2
01237;Martignat;125;1667;126.1;24
01238;Massieux;206;2733;877.7;5.7
01239;Massignieu-de-Rives;45;653;67.4;25
01240;Matafelon-Granges;31;630;29.2;0
01241;Meillonnas;99;1383;78;14.3
01242;Mérignat;11;133;42.9;N/A - résultat non disponible
01243;Messimy-sur-Saône;101;1312;216.5;6.7
01244;Meximieux;606;8198;588;15
01245;Bohas-Meyriat-Rignat;62;951;41;13.3
01246;Mézériat;163;2179;114.3;13.3
01247;Mijoux;51;297;13.5;28.6
01248;Mionnay;171;2309;113.5;0
01249;Miribel;846;10450;417.5;5.4
01250;Misérieux;95;2010;269.1;24
01252;Mogneneins;52;824;93.7;20
01254;Montagnat;201;2164;156;0
01255;Montagnieu;32;684;107.1;0
01257;Montanges;23;348;25.5;0
01258;Montceaux;84;1202;119.4;6.7
01259;Montcet;37;715;105.4;37.5
01260;Le Montellier;24;329;20.7;0
01261;Monthieux;54;673;63.4;0
01262;Montluel;486;6879;170.5;14.7
01263;Montmerle-sur-Saône;258;3798;911.5;7.7
01264;Montracol;54;1008;69.2;22.2
01265;Montréal-la-Cluse;259;3584;276;18.2
01266;Montrevel-en-Bresse;211;2661;251;13.9
01267;Nurieux-Volognat;62;973;51.2;27.3
01268;Murs-et-Gélignieux;19;239;37.2;100
01269;Nantua;195;3431;269.7;9.5
01272;Neuville-les-Dames;111;1540;57;22.2
01273;Neuville-sur-Ain;96;1798;90.9;11.1
01274;Les Neyrolles;32;623;66.5;25
01275;Neyron;331;2479;473.5;10.5
01276;Niévroz;119;1648;156.2;0
01277;Nivollet-Montgriffon;4;119;14;N/A - résultat non disponible
01279;Oncieu;5;72;9.4;N/A - résultat non disponible
01280;Ordonnaz;13;146;9.5;N/A - résultat non disponible
01281;Ornex;170;4903;831.6;8.3
01282;Outriaz;10;258;43.1;0
01283;Oyonnax;1539;22378;615.7;14.7
01284;Ozan;45;721;109.8;9.1
01285;Parcieux;92;1317;420.1;15.4
01286;Parves et Nattages;69;943;60.2;10
01288;Péron;122;2900;109.1;9.1
01289;Péronnas;476;6437;367.4;8.9
01290;Pérouges;119;1382;71;23.1
01291;Perrex;45;861;77;17.6
01293;Peyriat;9;150;24.8;0
01294;Peyrieu;38;918;64.3;28.6
01295;Peyzieux-sur-Saône;32;656;76.9;0
01296;Pirajoux;22;400;31.3;0
01297;Pizay;53;922;81.8;8.3
01298;Plagne;13;166;26;0
01299;Le Plantay;48;569;29;12.5
01301;Polliat;190;2694;131.9;12
01302;Pollieu;10;167;45.3;0
01303;Poncin;127;1766;87.5;8.3
01304;Pont-d'Ain;213;2862;255.9;17.2
01305;Pont-de-Vaux;227;2184;290.3;8.7
01306;Pont-de-Veyle;92;1600;839.7;10.5
01307;Port;81;843;198.4;22.2
01308;Pougny;18;792;102.4;14.3
01309;Pouillat;6;79;13;N/A - résultat non disponible
01310;Prémeyzel;4;245;32.4;33.3
01311;Prémillieu;6;47;5.2;N/A - résultat non disponible
01313;Prévessin-Moëns;369;9081;750.9;3.1
